epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.507,5.4632,5.78113,4.24951,0.00034,0.00113,0.00018,9e-05,5.8031,11.3057,4.09927,0.0701111,0.00332099,0.00332099
2,307.172,4.15316,3.96477,2.77961,0.03413,0.07895,0.03003,0.01068,3.03381,3.12437,1.52975,0.0400892,0.00663236,0.00663236
3,456.08,2.73281,2.51655,1.49166,0.08231,0.10417,0.05915,0.02413,2.47833,2.1667,1.3195,0.0100452,0.00992174,0.00992174
4,603.968,2.34379,2.13969,1.32961,0.07119,0.16673,0.08033,0.03706,2.14599,1.94808,1.23043,0.009901,0.009901,0.009901
5,751.352,2.16256,1.92827,1.25393,0.15386,0.1427,0.10166,0.04957,2.02009,1.69155,1.17153,0.009868,0.009868,0.009868
6,898.938,2.0549,1.81671,1.21248,0.19105,0.14422,0.1146,0.05823,1.87689,1.60425,1.14322,0.009835,0.009835,0.009835
7,1046.26,1.98289,1.72034,1.18739,0.19657,0.15307,0.11771,0.05896,1.91548,1.59811,1.12666,0.009802,0.009802,0.009802
8,1194.31,1.94085,1.66726,1.16711,0.18732,0.17786,0.13334,0.06935,1.80859,1.50569,1.10704,0.009769,0.009769,0.009769
9,1342.98,1.89293,1.60614,1.14998,0.18699,0.17834,0.13784,0.07215,1.7771,1.4501,1.09409,0.009736,0.009736,0.009736
10,1491.13,1.8481,1.55411,1.13737,0.20463,0.18811,0.1443,0.07552,1.74824,1.44745,1.08681,0.009703,0.009703,0.009703
11,1639.29,1.81851,1.53989,1.13149,0.23322,0.18902,0.15653,0.08192,1.7174,1.37771,1.07591,0.00967,0.00967,0.00967
12,1787.49,1.79759,1.50699,1.1201,0.22576,0.19833,0.1581,0.0829,1.70624,1.37871,1.0719,0.009637,0.009637,0.009637
13,1935.6,1.78577,1.48026,1.11563,0.23817,0.19784,0.16141,0.08561,1.65818,1.35142,1.06135,0.009604,0.009604,0.009604
14,2082.98,1.754,1.45398,1.10808,0.25726,0.21472,0.17737,0.09491,1.64797,1.31674,1.05506,0.009571,0.009571,0.009571
15,2231.13,1.74442,1.43248,1.09677,0.26604,0.19623,0.1787,0.09755,1.63023,1.29688,1.05211,0.009538,0.009538,0.009538
16,2379.14,1.72399,1.41175,1.09726,0.29096,0.21174,0.18839,0.10243,1.62767,1.27491,1.05031,0.009505,0.009505,0.009505
17,2527.19,1.71671,1.4058,1.09096,0.27848,0.21859,0.18973,0.10275,1.60718,1.26697,1.04526,0.009472,0.009472,0.009472
18,2675.18,1.70547,1.3892,1.08809,0.29164,0.21657,0.19417,0.1051,1.61102,1.24896,1.04884,0.009439,0.009439,0.009439
19,2823.07,1.68653,1.37057,1.07891,0.28279,0.21615,0.19512,0.1046,1.60082,1.26317,1.03848,0.009406,0.009406,0.009406
20,2970.24,1.67406,1.35595,1.07855,0.29034,0.22678,0.19498,0.10736,1.59173,1.2524,1.0339,0.009373,0.009373,0.009373
21,3118.25,1.66721,1.34039,1.07608,0.28392,0.228,0.20341,0.1104,1.56642,1.22645,1.03137,0.00934,0.00934,0.00934
22,3266.38,1.66643,1.34085,1.07541,0.2936,0.22162,0.20239,0.11215,1.57033,1.20877,1.02952,0.009307,0.009307,0.009307
23,3414.5,1.65541,1.32728,1.07077,0.30641,0.23213,0.21049,0.11523,1.55825,1.20376,1.02411,0.009274,0.009274,0.009274
