epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.948,4.75026,4.5767,3.30202,0.01231,0.01813,0.00745,0.00211,3.4718,3.70733,1.81479,0.0701111,0.00332099,0.00332099
2,393.541,3.19374,2.97831,1.70196,0.03958,0.10397,0.03988,0.01424,2.93574,2.58171,1.5143,0.0400946,0.00663785,0.00663785
3,582.477,2.69021,2.46036,1.46175,0.06434,0.1307,0.06362,0.02647,2.45577,2.1777,1.35252,0.0100617,0.00993822,0.00993822
4,770.616,2.4218,2.19453,1.35626,0.09808,0.1524,0.08792,0.03973,2.19296,1.93256,1.25291,0.00992575,0.00992575,0.00992575
5,956.991,2.26288,2.0138,1.28961,0.13193,0.14889,0.10101,0.04707,2.10229,1.77772,1.2081,0.009901,0.009901,0.009901
6,1143.42,2.16033,1.91447,1.24937,0.19387,0.14412,0.11288,0.05538,1.99606,1.70926,1.17859,0.00987625,0.00987625,0.00987625
7,1329.37,2.08827,1.81994,1.22383,0.19616,0.1685,0.12611,0.06141,1.95694,1.62312,1.15321,0.0098515,0.0098515,0.0098515
8,1516.04,2.04157,1.76925,1.20232,0.19618,0.17751,0.1361,0.06768,1.91093,1.5537,1.1402,0.00982675,0.00982675,0.00982675
9,1703.01,1.99158,1.70477,1.18235,0.20279,0.17652,0.14234,0.07168,1.86619,1.55577,1.13213,0.009802,0.009802,0.009802
10,1889.57,1.93767,1.65061,1.16528,0.20106,0.18905,0.14614,0.0732,1.84642,1.51595,1.11888,0.00977725,0.00977725,0.00977725
11,2075.22,1.9203,1.64155,1.16243,0.22216,0.19386,0.15716,0.08031,1.79491,1.46584,1.10487,0.0097525,0.0097525,0.0097525
12,2261.67,1.894,1.60745,1.14842,0.22484,0.18861,0.16044,0.08132,1.79846,1.45194,1.09886,0.00972775,0.00972775,0.00972775
13,2447.84,1.87647,1.58433,1.14105,0.22889,0.19542,0.15784,0.08226,1.78218,1.44475,1.08822,0.009703,0.009703,0.009703
14,2632.91,1.84886,1.55881,1.13492,0.25227,0.21264,0.17617,0.09176,1.72842,1.40482,1.08234,0.00967825,0.00967825,0.00967825
15,2819.95,1.83872,1.5374,1.12181,0.24171,0.20192,0.16992,0.08812,1.73708,1.40248,1.08199,0.0096535,0.0096535,0.0096535
16,3005.74,1.81596,1.52054,1.12104,0.2631,0.21431,0.18125,0.0942,1.72067,1.38421,1.07218,0.00962875,0.00962875,0.00962875
17,3192.34,1.80904,1.50802,1.11425,0.26539,0.21484,0.18424,0.0974,1.69071,1.36458,1.06712,0.009604,0.009604,0.009604
18,3378.84,1.79512,1.492,1.10907,0.2538,0.21491,0.18617,0.09652,1.6885,1.36336,1.06444,0.00957925,0.00957925,0.00957925
19,3564.42,1.77235,1.4676,1.09888,0.28049,0.21463,0.19142,0.10058,1.67381,1.36551,1.05789,0.0095545,0.0095545,0.0095545
20,3750.41,1.76127,1.45439,1.09791,0.28108,0.22804,0.19566,0.10373,1.65749,1.33725,1.05343,0.00952975,0.00952975,0.00952975
21,3936.82,1.74974,1.43695,1.09329,0.27869,0.22579,0.19813,0.10398,1.65218,1.33008,1.05199,0.009505,0.009505,0.009505
22,4122.49,1.74982,1.43847,1.09224,0.26778,0.22513,0.19644,0.10395,1.66038,1.32036,1.05916,0.00948025,0.00948025,0.00948025
23,4307.71,1.73941,1.42801,1.08536,0.29921,0.23286,0.20747,0.11012,1.63487,1.31121,1.04465,0.0094555,0.0094555,0.0094555
