epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.129,5.41103,5.59709,4.17703,0.00011,0.00029,6e-05,1e-05,5.57231,4.81568,3.77352,0.0700741,0.0033251,0.0033251
2,419.614,3.94109,3.73531,2.53345,0.23991,0.04939,0.02703,0.00952,3.01966,3.66801,1.57274,0.0400576,0.00664196,0.00664196
3,624.571,2.74231,2.58012,1.51185,0.07273,0.08722,0.05354,0.02384,2.44216,2.17966,1.31394,0.0100246,0.00994231,0.00994231
4,829.446,2.35026,2.19386,1.32631,0.08189,0.13274,0.0731,0.03374,2.21759,2.08943,1.22516,0.00992575,0.00992575,0.00992575
5,1033.28,2.16809,1.98653,1.25539,0.23548,0.12945,0.09434,0.04616,2.02625,1.75863,1.18099,0.009901,0.009901,0.009901
6,1237.97,2.07031,1.8628,1.21745,0.17827,0.14609,0.10645,0.0536,1.91359,1.65337,1.14378,0.00987625,0.00987625,0.00987625
7,1441.8,2.00365,1.77755,1.19456,0.17165,0.16414,0.12014,0.06103,1.84899,1.59664,1.12347,0.0098515,0.0098515,0.0098515
8,1645.56,1.94019,1.70326,1.16796,0.23562,0.15247,0.1301,0.06567,1.8509,1.56395,1.12402,0.00982675,0.00982675,0.00982675
9,1849.47,1.90567,1.6485,1.15447,0.21272,0.16658,0.12899,0.06798,1.81718,1.52058,1.11075,0.009802,0.009802,0.009802
10,2052.94,1.86028,1.60348,1.14312,0.22312,0.18821,0.14491,0.0756,1.75909,1.45895,1.09345,0.00977725,0.00977725,0.00977725
11,2256.63,1.8421,1.57368,1.13572,0.21547,0.18888,0.14725,0.0763,1.7308,1.43983,1.08005,0.0097525,0.0097525,0.0097525
12,2459.62,1.80919,1.54154,1.1274,0.27722,0.19345,0.16105,0.08507,1.71089,1.39313,1.07856,0.00972775,0.00972775,0.00972775
13,2663.22,1.79617,1.51561,1.1226,0.24708,0.19697,0.16179,0.08722,1.6906,1.39124,1.06706,0.009703,0.009703,0.009703
14,2866.57,1.76661,1.47593,1.10786,0.2893,0.19807,0.17347,0.09291,1.67502,1.36315,1.06629,0.00967825,0.00967825,0.00967825
15,3070.67,1.76995,1.47155,1.10681,0.24772,0.20412,0.17106,0.09054,1.66555,1.35678,1.05569,0.0096535,0.0096535,0.0096535
16,3273.89,1.74612,1.44244,1.09828,0.28398,0.21403,0.18774,0.1009,1.63926,1.31563,1.05195,0.00962875,0.00962875,0.00962875
17,3477.23,1.72766,1.42281,1.09726,0.28291,0.2114,0.18136,0.09944,1.63031,1.31545,1.04694,0.009604,0.009604,0.009604
18,3680.47,1.72363,1.41028,1.09301,0.38087,0.21272,0.19123,0.10246,1.61379,1.28604,1.04761,0.00957925,0.00957925,0.00957925
19,3883.8,1.70814,1.40349,1.08734,0.2854,0.22078,0.18844,0.10347,1.62032,1.28799,1.04268,0.0095545,0.0095545,0.0095545
20,4087.71,1.69215,1.37862,1.08099,0.29128,0.21266,0.18471,0.10101,1.63125,1.30976,1.04624,0.00952975,0.00952975,0.00952975
21,4290.79,1.67891,1.36467,1.07781,0.29187,0.22443,0.20234,0.10998,1.59437,1.25374,1.03692,0.009505,0.009505,0.009505
22,4494.11,1.68436,1.36019,1.07741,0.29218,0.22353,0.20402,0.11039,1.58396,1.25449,1.03699,0.00948025,0.00948025,0.00948025
23,4697.62,1.68038,1.35762,1.07759,0.289,0.22943,0.20007,0.11018,1.57637,1.26992,1.02834,0.0094555,0.0094555,0.0094555
24,4900.69,1.66125,1.33834,1.07165,0.30935,0.23094,0.21221,0.1163,1.56012,1.23195,1.02847,0.00943075,0.00943075,0.00943075
25,5104.42,1.64458,1.32227,1.06831,0.29856,0.22981,0.21088,0.11627,1.56043,1.23382,1.02582,0.009406,0.009406,0.009406
26,5307.56,1.65048,1.32412,1.07042,0.32052,0.23227,0.21235,0.1143,1.55377,1.21927,1.02316,0.00938125,0.00938125,0.00938125
27,5510.86,1.63648,1.3197,1.06416,0.31897,0.24028,0.21737,0.11973,1.54669,1.21113,1.02399,0.0093565,0.0093565,0.0093565
28,5714.51,1.62916,1.30443,1.06363,0.32979,0.23835,0.21961,0.12073,1.55426,1.20293,1.0302,0.00933175,0.00933175,0.00933175
29,5918.25,1.62114,1.29431,1.06011,0.30813,0.2431,0.21975,0.12067,1.53495,1.21109,1.02,0.009307,0.009307,0.009307
30,6121.39,1.61495,1.28609,1.05858,0.33699,0.24939,0.22792,0.12484,1.5314,1.19009,1.02169,0.00928225,0.00928225,0.00928225
