                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4961,                 6.9036,                 4.2053,                0.00016,                0.06061,                0.00049,                  6e-05,                 4.4578,                 5.3623,                 4.1586,             0.00011432,             0.00011432,             0.00011432
                      2,                 4.3159,                 6.2432,                 4.2209,                  9e-05,                 0.0303,                  5e-05,                  2e-05,                 4.4538,                 5.3546,                 4.1552,             0.00024173,             0.00024173,             0.00024173
                      3,                 4.5546,                 6.2127,                 4.1756,                  9e-05,                 0.0303,                  5e-05,                  2e-05,                 4.4436,                 5.3536,                 4.1464,             0.00036786,             0.00036786,             0.00036786
                      4,                 4.2576,                 5.7975,                 4.0727,                  9e-05,                 0.0303,                  5e-05,                  1e-05,                  4.415,                 5.2213,                 4.1213,             0.00049272,             0.00049272,             0.00049272
                      5,                 4.0448,                  5.517,                 3.8776,                  9e-05,                 0.0303,                  5e-05,                  2e-05,                 4.3172,                  5.152,                 4.0398,             0.00061631,             0.00061631,             0.00061631
                      6,                 3.6021,                 5.0548,                 3.6232,                  9e-05,                 0.0303,                  6e-05,                  2e-05,                 4.2235,                 5.1015,                  4.005,             0.00073863,             0.00073863,             0.00073863
                      7,                 3.4411,                 4.9629,                 3.5599,                0.00027,                0.08625,                0.00018,                  4e-05,                 4.1216,                 5.0582,                 3.9242,             0.00085967,             0.00085967,             0.00085967
                      8,                 3.2201,                 4.5766,                 3.3659,                0.00018,                0.03846,                0.00014,                  3e-05,                 3.6782,                 4.3741,                 3.5079,             0.00097943,             0.00097943,             0.00097943
                      9,                 3.1419,                 4.4352,                 3.3136,                  9e-05,                 0.0303,                0.00017,                  7e-05,                 4.0542,                 5.1153,                 3.9048,              0.0010979,              0.0010979,              0.0010979
                     10,                 3.0762,                 4.2881,                  3.191,                0.00039,                0.21795,                0.00045,                  9e-05,                 3.8792,                 7.1345,                 3.6752,              0.0012152,              0.0012152,              0.0012152
                     11,                 3.0283,                 4.1287,                 3.1505,                0.00091,                 0.0641,                0.00059,                0.00019,                 3.7315,                 26.996,                 3.7277,              0.0013311,              0.0013311,              0.0013311
                     12,                 2.8087,                 4.2334,                 3.1206,                0.00075,                0.05128,                0.00054,                0.00019,                 3.6936,                 13.444,                 3.6954,              0.0013512,              0.0013512,              0.0013512
