                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4859,                 6.5006,                 4.1993,                  8e-05,                 0.0303,                  6e-05,                  2e-05,                 4.4573,                 5.3567,                 4.1585,             0.00011432,             0.00011432,             0.00011432
                      2,                 4.3054,                 6.1779,                 4.2056,                  9e-05,                 0.0303,                  5e-05,                  2e-05,                 4.4572,                 5.3614,                 4.1539,             0.00024173,             0.00024173,             0.00024173
                      3,                 4.5263,                 6.1519,                 4.1521,                  9e-05,                 0.0303,                  5e-05,                  2e-05,                 4.4513,                 5.3626,                 4.1462,             0.00036786,             0.00036786,             0.00036786
                      4,                 4.2047,                 5.7547,                 4.0458,                  9e-05,                 0.0303,                  5e-05,                  2e-05,                 4.4392,                 5.2663,                  4.135,             0.00049272,             0.00049272,             0.00049272
                      5,                 3.8085,                 5.4494,                 3.9158,                  9e-05,                 0.0303,                  5e-05,                  2e-05,                 4.4372,                 5.2435,                 4.1321,             0.00061631,             0.00061631,             0.00061631
                      6,                 3.5867,                 5.1627,                 3.7402,                  9e-05,                 0.0303,                  6e-05,                  3e-05,                 4.3788,                 5.2811,                 4.1143,             0.00073863,             0.00073863,             0.00073863
                      7,                 3.4325,                 4.9848,                  3.596,                  9e-05,                 0.0303,                  5e-05,                  3e-05,                 4.3834,                 5.2673,                 4.1241,             0.00085967,             0.00085967,             0.00085967
                      8,                 3.3454,                 4.7591,                 3.4644,                  8e-05,                 0.0303,                  4e-05,                  3e-05,                 4.3898,                 5.1841,                  4.118,             0.00097943,             0.00097943,             0.00097943
                      9,                 3.2179,                 4.6029,                 3.3774,                  8e-05,                 0.0303,                  5e-05,                  4e-05,                 4.3516,                 4.6145,                 4.0909,              0.0010979,              0.0010979,              0.0010979
                     10,                  3.128,                 4.3018,                 3.2181,                  8e-05,                 0.0303,                  5e-05,                  4e-05,                 3.9944,                 4.7367,                 3.7415,              0.0012152,              0.0012152,              0.0012152
                     11,                  2.947,                 4.1289,                 3.1076,                  5e-05,                 0.0303,                  4e-05,                  1e-05,                 4.2866,                 4.7595,                  4.004,              0.0013311,              0.0013311,              0.0013311
                     12,                 2.9237,                 4.1749,                 3.0926,                0.66787,                0.05128,                0.00041,                0.00012,                 3.8201,                 49.054,                 3.5924,              0.0013512,              0.0013512,              0.0013512
                     13,                 2.8236,                 3.9814,                 3.0176,                0.00072,                0.20897,                0.00065,                0.00015,                 3.4909,                 76.828,                 3.4144,              0.0013512,              0.0013512,              0.0013512
                     14,                 2.7721,                 3.8765,                 3.0246,                0.66774,                0.02564,                0.00083,                0.00032,                 3.4757,                 42.053,                 3.5632,              0.0013441,              0.0013441,              0.0013441
                     15,                 2.8012,                 3.6676,                 2.9454,                0.71709,                0.03846,                0.02625,                0.00952,                 3.3834,                 21.358,                 3.3834,               0.001337,               0.001337,               0.001337
