                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4947,                  6.673,                 4.2176,                  6e-05,                 0.0303,                  7e-05,                  2e-05,                 4.4583,                  5.358,                 4.1589,             0.00011432,             0.00011432,             0.00011432
                      2,                 4.2934,                 6.2867,                 4.2362,                  8e-05,                 0.0303,                  5e-05,                  2e-05,                 4.4551,                 5.3556,                 4.1558,             0.00024173,             0.00024173,             0.00024173
                      3,                 4.4753,                 6.2563,                 4.1798,                  9e-05,                 0.0303,                  5e-05,                  1e-05,                 4.4422,                 5.3513,                 4.1502,             0.00036786,             0.00036786,             0.00036786
                      4,                 4.1173,                 5.8389,                 4.0394,                  9e-05,                 0.0303,                  5e-05,                  1e-05,                 4.4093,                 5.1807,                 4.1256,             0.00049272,             0.00049272,             0.00049272
                      5,                 3.5925,                 5.4281,                 3.7681,                  8e-05,                 0.0303,                  5e-05,                  1e-05,                 4.4569,                 5.1988,                 4.1685,             0.00061631,             0.00061631,             0.00061631
                      6,                  3.299,                 5.0683,                 3.5525,                  9e-05,                 0.0303,                  6e-05,                  2e-05,                 4.4878,                 5.3517,                 4.2158,             0.00073863,             0.00073863,             0.00073863
                      7,                 3.1676,                 4.8777,                 3.3725,                  9e-05,                 0.0303,                  6e-05,                  2e-05,                 4.4895,                 5.3892,                 4.2467,             0.00085967,             0.00085967,             0.00085967
                      8,                  2.917,                  4.502,                  3.244,                  9e-05,                 0.0303,                  6e-05,                  2e-05,                 4.3904,                 5.1286,                 4.1573,             0.00097943,             0.00097943,             0.00097943
                      9,                 2.8798,                  4.371,                 3.1635,                 0.0001,                 0.0303,                  6e-05,                  1e-05,                  4.528,                 5.0427,                 4.3598,              0.0010979,              0.0010979,              0.0010979
                     10,                 2.8386,                 4.1547,                 3.0573,                0.00011,                 0.0303,                  6e-05,                  1e-05,                 4.5402,                 5.0837,                 4.3889,              0.0012152,              0.0012152,              0.0012152
                     11,                 2.7678,                 4.0392,                 2.9784,                 0.0001,                 0.0303,                0.00016,                  3e-05,                 4.3016,                 5.3148,                 4.0016,              0.0013311,              0.0013311,              0.0013311
                     12,                 2.6399,                 3.9508,                 2.9399,                 0.0003,                0.06061,                0.00018,                  2e-05,                 4.3673,                 5.8532,                 4.2792,              0.0013512,              0.0013512,              0.0013512
                     13,                 2.5145,                 3.7183,                 2.8325,                0.00075,                0.17133,                0.00152,                0.00036,                 3.3185,                 5.3225,                 3.4965,              0.0013512,              0.0013512,              0.0013512
                     14,                 2.5099,                  3.573,                 2.8152,                0.39912,                0.05128,                0.02011,                0.00597,                 2.7382,                 8.2757,                  3.131,              0.0013441,              0.0013441,              0.0013441
                     15,                 2.4951,                 3.4189,                 2.7332,                 0.3832,                0.09359,                0.02908,                0.00932,                 2.6891,                 6.3879,                 2.9209,               0.001337,               0.001337,               0.001337
                     16,                 2.4548,                 3.2802,                 2.6773,                0.63143,                0.20897,                0.07926,                 0.0252,                 2.4425,                 10.819,                 2.8485,                0.00133,                0.00133,                0.00133
                     17,                 2.4181,                 3.1683,                  2.695,                0.65736,                0.17051,                0.16225,                0.06151,                 2.4209,                  7.886,                 2.7912,              0.0013229,              0.0013229,              0.0013229
                     18,                 2.4042,                 3.1389,                 2.6677,                0.50616,                0.28718,                0.15773,                0.05865,                 2.4892,                 8.0385,                 2.7722,              0.0013158,              0.0013158,              0.0013158
                     19,                 2.4686,                 2.9333,                 2.6554,                0.58192,                0.41923,                0.31231,                 0.1127,                 2.2557,                 3.8477,                 2.6827,              0.0013087,              0.0013087,              0.0013087
                     20,                 2.4122,                 2.9702,                 2.6509,                0.51808,                0.21667,                0.14773,                0.06582,                 2.3818,                 4.6264,                 2.7996,              0.0013017,              0.0013017,              0.0013017
                     21,                 2.2381,                 2.8311,                  2.587,                0.61438,                0.27949,                0.26738,                0.10292,                 2.4276,                 2.9541,                 2.7369,              0.0012946,              0.0012946,              0.0012946
