                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5024,                 6.7628,                 4.2266,                0.00018,                0.06061,                0.00014,                  3e-05,                 4.4573,                 5.3586,                  4.159,             0.00011432,             0.00011432,             0.00011432
                      2,                 4.3388,                 6.3134,                 4.2371,                  8e-05,                 0.0303,                  6e-05,                  2e-05,                 4.4555,                 5.3551,                 4.1551,             0.00024173,             0.00024173,             0.00024173
                      3,                 4.5462,                 6.3274,                 4.1643,                  9e-05,                 0.0303,                  6e-05,                  2e-05,                 4.4441,                 5.3481,                  4.147,             0.00036786,             0.00036786,             0.00036786
                      4,                 4.2056,                 5.9115,                 4.0606,                  9e-05,                 0.0303,                  5e-05,                  1e-05,                 4.4207,                 5.3237,                 4.1261,             0.00049272,             0.00049272,             0.00049272
                      5,                 3.7743,                 5.4656,                 3.8361,                  9e-05,                 0.0303,                  5e-05,                  1e-05,                 4.4299,                 5.2219,                 4.1268,             0.00061631,             0.00061631,             0.00061631
                      6,                 3.4209,                 5.1296,                 3.5827,                  9e-05,                 0.0303,                  5e-05,                  2e-05,                 4.4253,                 5.2449,                 4.1296,             0.00073863,             0.00073863,             0.00073863
                      7,                 3.2309,                 4.8839,                 3.4177,                  9e-05,                 0.0303,                  6e-05,                  2e-05,                 4.4715,                 5.3717,                 4.1917,             0.00085967,             0.00085967,             0.00085967
                      8,                 3.0706,                 4.6378,                 3.2858,                  9e-05,                 0.0303,                  6e-05,                  2e-05,                 4.3602,                 5.2923,                 4.1048,             0.00097943,             0.00097943,             0.00097943
                      9,                 3.0069,                 4.4626,                 3.2479,                  9e-05,                 0.0303,                  7e-05,                  2e-05,                 3.7567,                 4.6184,                 3.5485,              0.0010979,              0.0010979,              0.0010979
                     10,                 3.0476,                 4.3642,                 3.1447,                0.00026,                0.08159,                0.00016,                  2e-05,                 3.9366,                 4.8909,                 3.7486,              0.0012152,              0.0012152,              0.0012152
                     11,                 2.9707,                 4.2591,                 3.0891,                0.00012,                 0.0303,                  7e-05,                  1e-05,                 4.7114,                 5.5972,                 4.4866,              0.0013311,              0.0013311,              0.0013311
                     12,                 2.8062,                 4.1044,                 2.9946,                0.33537,                0.03846,                0.00126,                 0.0004,                 3.4944,                 5.4479,                 3.5021,              0.0013512,              0.0013512,              0.0013512
                     13,                 2.6648,                 3.8921,                 2.9681,                0.68673,                0.03846,                 0.0109,                0.00379,                 3.1414,                 7.7223,                 3.3187,              0.0013512,              0.0013512,              0.0013512
                     14,                 2.6257,                 3.7646,                 2.9174,                 0.6808,                0.08974,                0.00855,                0.00274,                 2.8729,                 13.575,                 4.1143,              0.0013441,              0.0013441,              0.0013441
                     15,                  2.609,                 3.6029,                 2.8962,                0.71427,                 0.0641,                0.04501,                0.01046,                 2.8759,                 16.534,                 3.5881,               0.001337,               0.001337,               0.001337
                     16,                 2.5948,                 3.4615,                 2.8042,                0.71585,                0.12821,                0.06443,                0.01537,                 2.8201,                 7.9889,                 3.1615,                0.00133,                0.00133,                0.00133
                     17,                 2.5274,                 3.3423,                 2.7805,                0.79664,                 0.0641,                0.07402,                 0.0147,                 2.4856,                 6.3307,                 2.8348,              0.0013229,              0.0013229,              0.0013229
                     18,                 2.5305,                 3.2236,                 2.7981,                0.48965,                0.15769,                0.09582,                0.03393,                 2.5504,                 5.1181,                 2.8989,              0.0013158,              0.0013158,              0.0013158
                     19,                 2.5601,                 3.0858,                  2.745,                0.83321,                0.14103,                 0.1871,                0.05902,                 2.5729,                 4.9258,                 2.7956,              0.0013087,              0.0013087,              0.0013087
                     20,                 2.5232,                  3.043,                 2.7395,                0.80578,                0.12821,                 0.1288,                0.05513,                 2.4978,                 3.5033,                 2.7096,              0.0013017,              0.0013017,              0.0013017
                     21,                 2.3925,                 2.9207,                 2.7016,                0.53242,                0.18333,                0.19206,                0.06568,                 2.5722,                 3.4735,                 2.7679,              0.0012946,              0.0012946,              0.0012946
                     22,                 2.3756,                 2.7445,                 2.6391,                0.56436,                0.34766,                0.29624,                0.09734,                 2.3912,                 3.5713,                 2.6101,              0.0012875,              0.0012875,              0.0012875
                     23,                 2.4081,                 2.6776,                 2.6985,                0.47256,                0.35897,                0.21651,                0.08347,                 2.4763,                 4.7065,                 2.6354,              0.0012805,              0.0012805,              0.0012805
                     24,                 2.4002,                 2.6665,                 2.6197,                0.78755,                0.22436,                0.29592,                0.13129,                 2.3865,                 3.0238,                 2.7069,              0.0012734,              0.0012734,              0.0012734
                     25,                 2.3303,                 2.5533,                 2.6155,                0.50238,                 0.4478,                0.27632,                0.09857,                 2.4046,                 3.0975,                 2.5503,              0.0012663,              0.0012663,              0.0012663
                     26,                 2.2973,                 2.4587,                 2.5577,                0.61969,                0.26154,                0.32139,                0.12482,                 2.5108,                 2.4644,                 2.6209,              0.0012592,              0.0012592,              0.0012592
                     27,                 2.2503,                 2.4565,                 2.5439,                0.67722,                0.37154,                0.33702,                0.12514,                   2.47,                 2.4175,                 2.6037,              0.0012522,              0.0012522,              0.0012522
                     28,                 2.2891,                 2.4567,                 2.5006,                0.74155,                0.30769,                0.33559,                0.14769,                   2.39,                  2.487,                  2.499,              0.0012451,              0.0012451,              0.0012451
                     29,                 2.2757,                 2.2749,                 2.4916,                0.84798,                0.18333,                 0.2331,                0.11584,                 2.3339,                 2.8834,                 2.4857,               0.001238,               0.001238,               0.001238
                     30,                 2.1826,                 2.3313,                  2.438,                0.65251,                0.29608,                0.25864,                0.10149,                  2.505,                 2.8647,                 2.6493,              0.0012309,              0.0012309,              0.0012309
